"Error", "Error"
"User not found", "User account not found"
"PDF File", "PDF file"
"Title", "Title"
"create", "create"
"Neue Publikation erstellen", "Create new book"
"Datei wird verarbeitet", "Processing file"
"Datei wird hochgeladen", "Uploading file"
"erstellen", "create"
"Publikationen", "Books"
"Publikation erstellen", "Create Book"
"Benutzerkonto", "User-account"
"Passwort", "Password"
"FTP-Einstellungen", "FTP-Settings"
"FTP-Einstellungen", "FTP-Settings"
"Book-Einstellungen", "Book-Settings"
"FTP-Passwort", "FTP-Password"
"FTP-Benutzer", "FTP-User"
"FTP-Ziel-Verzeichnis", "FTP-Home directory"
"Speichern", "save"
"abbrechen", "cancel"
"Aktualisieren", "Refresh"
"Vollbild", "Fullscreen"
"Löschen", "Delete"
"schliessen", "close"
"str_reprocess_description", "This updates all settings of the book"
"str_reprocess_title", "Refresh this book?"
"str_delete_body", "Warning! All files of this book will be lost!"
"str_delete_title", "Delete this book?"
"str_upload_body", "Upload this book to your FTP location? Attention: Please do not close this window during this process!"
"Aktivität", "Activity"
"Fertig!", "Done!"
"Der Upload ist abgeschlossen!", "Upload has finished"
"Bitte warten", "Hold on please"
"optionaler HTML-Code", "Optional HTML Code"
"zB UA-37177789-1", "ie UA-37177789-1"
"Basis-Titel", "Base title"
"Hintergrundbild", "Background Image"
"str_basetitle", "ie. "My Title" becomes "My Title - Book title"
"str_backgroundimage", "The Background image replaces the default background"
"Bild löschen", "Delete image"
"Hintergrund darstellen:", "Display background"
"nicht gekachelt", "single image"
"gekachelt", "tiled"
"gestreckt", "stretched"
"Hintergrundfarbe", "Background Color"
"str_backgroundcolor", "If no background image is set, this color will be displayed as background"
"Änderungen gespeichert!", "Changes saved!"
"Ansicht", "View"
"Aktionen", "Edit"
"str_force_upload", "Replace existing Files on remote location"